bcell_id	h_age	new_h_age
6450238	54.8 to 72.4 years	54.8-72.4 years
6450239	55.9 to 76.9 years	55.9-76.9 years
6450240	54.8 to 72.4 years	54.8-72.4 years
6450241	55.9 to 76.9 years	55.9-76.9 years
6450242	54.8 to 72.4 years	54.8-72.4 years
6450243	55.9 to 76.9 years	55.9-76.9 years
6450244	54.8 to 72.4 years	54.8-72.4 years
6450245	55.9 to 76.9 years	55.9-76.9 years
6450246	54.8 to 72.4 years	54.8-72.4 years
6450247	55.9 to 76.9 years	55.9-76.9 years
6450413	55.9 to 76.9 years	55.9-76.9 years
6450414	54.8 to 72.4 years	54.8-72.4 years
6450415	55.9 to 76.9 years	55.9-76.9 years
6450416	54.8 to 72.4 years	54.8-72.4 years
6450417	55.9 to 76.9 years	55.9-76.9 years
6450418	54.8 to 72.4 years	54.8-72.4 years
6450419	55.9 to 76.9 years	55.9-76.9 years
6450420	54.8 to 72.4 years	54.8-72.4 years
6450421	55.9 to 76.9 years	55.9-76.9 years
6450422	54.8 to 72.4 years	54.8-72.4 years
6450423	55.9 to 76.9 years	55.9-76.9 years
6450589	55.9 to 76.9 years	55.9-76.9 years
6450590	54.8 to 72.4 years	54.8-72.4 years
6450591	55.9 to 76.9 years	55.9-76.9 years
6450592	54.8 to 72.4 years	54.8-72.4 years
6450593	55.9 to 76.9 years	55.9-76.9 years
6450594	54.8 to 72.4 years	54.8-72.4 years
6450595	55.9 to 76.9 years	55.9-76.9 years
6450596	54.8 to 72.4 years	54.8-72.4 years
6450597	55.9 to 76.9 years	55.9-76.9 years
6450598	54.8 to 72.4 years	54.8-72.4 years
6450599	55.9 to 76.9 years	55.9-76.9 years
6450765	55.9 to 76.9 years	55.9-76.9 years
6450766	54.8 to 72.4 years	54.8-72.4 years
6450767	55.9 to 76.9 years	55.9-76.9 years
6450768	54.8 to 72.4 years	54.8-72.4 years
6450769	55.9 to 76.9 years	55.9-76.9 years
6450770	54.8 to 72.4 years	54.8-72.4 years
6450771	55.9 to 76.9 years	55.9-76.9 years
6450772	54.8 to 72.4 years	54.8-72.4 years
6450773	55.9 to 76.9 years	55.9-76.9 years
6450774	54.8 to 72.4 years	54.8-72.4 years
6450775	55.9 to 76.9 years	55.9-76.9 years
6450941	55.9 to 76.9 years	55.9-76.9 years
6450942	54.8 to 72.4 years	54.8-72.4 years
6450943	55.9 to 76.9 years	55.9-76.9 years
6450944	54.8 to 72.4 years	54.8-72.4 years
6450945	55.9 to 76.9 years	55.9-76.9 years
6450946	54.8 to 72.4 years	54.8-72.4 years
6450947	55.9 to 76.9 years	55.9-76.9 years
6450948	54.8 to 72.4 years	54.8-72.4 years
6450949	55.9 to 76.9 years	55.9-76.9 years
6450950	54.8 to 72.4 years	54.8-72.4 years
6450951	55.9 to 76.9 years	55.9-76.9 years
6448298	54.8 to 72.4 years	54.8-72.4 years
6448299	55.9 to 76.9 years	55.9-76.9 years
6448300	54.8 to 72.4 years	54.8-72.4 years
6448301	55.9 to 76.9 years	55.9-76.9 years
6448302	54.8 to 72.4 years	54.8-72.4 years
6448303	55.9 to 76.9 years	55.9-76.9 years
6448304	54.8 to 72.4 years	54.8-72.4 years
6448305	55.9 to 76.9 years	55.9-76.9 years
6448306	54.8 to 72.4 years	54.8-72.4 years
6448307	55.9 to 76.9 years	55.9-76.9 years
6448308	54.8 to 72.4 years	54.8-72.4 years
6448475	55.9 to 76.9 years	55.9-76.9 years
6448476	54.8 to 72.4 years	54.8-72.4 years
6448477	55.9 to 76.9 years	55.9-76.9 years
6448478	54.8 to 72.4 years	54.8-72.4 years
6448479	55.9 to 76.9 years	55.9-76.9 years
6448480	54.8 to 72.4 years	54.8-72.4 years
6448481	55.9 to 76.9 years	55.9-76.9 years
6448482	54.8 to 72.4 years	54.8-72.4 years
6448483	55.9 to 76.9 years	55.9-76.9 years
6448484	54.8 to 72.4 years	54.8-72.4 years
6448485	55.9 to 76.9 years	55.9-76.9 years
6448651	55.9 to 76.9 years	55.9-76.9 years
6448652	54.8 to 72.4 years	54.8-72.4 years
6448653	55.9 to 76.9 years	55.9-76.9 years
6448654	54.8 to 72.4 years	54.8-72.4 years
6448655	55.9 to 76.9 years	55.9-76.9 years
6448656	54.8 to 72.4 years	54.8-72.4 years
6448657	55.9 to 76.9 years	55.9-76.9 years
6448658	54.8 to 72.4 years	54.8-72.4 years
6448659	55.9 to 76.9 years	55.9-76.9 years
6448660	54.8 to 72.4 years	54.8-72.4 years
6448661	55.9 to 76.9 years	55.9-76.9 years
6448827	55.9 to 76.9 years	55.9-76.9 years
6448828	54.8 to 72.4 years	54.8-72.4 years
6448829	55.9 to 76.9 years	55.9-76.9 years
6448830	54.8 to 72.4 years	54.8-72.4 years
6448831	55.9 to 76.9 years	55.9-76.9 years
6448832	54.8 to 72.4 years	54.8-72.4 years
6448833	55.9 to 76.9 years	55.9-76.9 years
6448834	54.8 to 72.4 years	54.8-72.4 years
6448835	55.9 to 76.9 years	55.9-76.9 years
6448836	54.8 to 72.4 years	54.8-72.4 years
6448837	55.9 to 76.9 years	55.9-76.9 years
6449003	55.9 to 76.9 years	55.9-76.9 years
6449004	54.8 to 72.4 years	54.8-72.4 years
6449005	55.9 to 76.9 years	55.9-76.9 years
6449006	54.8 to 72.4 years	54.8-72.4 years
6449007	55.9 to 76.9 years	55.9-76.9 years
6449008	54.8 to 72.4 years	54.8-72.4 years
6449009	55.9 to 76.9 years	55.9-76.9 years
6449010	54.8 to 72.4 years	54.8-72.4 years
6449011	55.9 to 76.9 years	55.9-76.9 years
6449012	54.8 to 72.4 years	54.8-72.4 years
6449013	55.9 to 76.9 years	55.9-76.9 years
6449179	55.9 to 76.9 years	55.9-76.9 years
6449180	54.8 to 72.4 years	54.8-72.4 years
6449181	55.9 to 76.9 years	55.9-76.9 years
6449182	54.8 to 72.4 years	54.8-72.4 years
6449183	55.9 to 76.9 years	55.9-76.9 years
6449184	54.8 to 72.4 years	54.8-72.4 years
6449185	55.9 to 76.9 years	55.9-76.9 years
6449186	54.8 to 72.4 years	54.8-72.4 years
6449187	55.9 to 76.9 years	55.9-76.9 years
6449188	54.8 to 72.4 years	54.8-72.4 years
6449189	55.9 to 76.9 years	55.9-76.9 years
6449355	55.9 to 76.9 years	55.9-76.9 years
6449356	54.8 to 72.4 years	54.8-72.4 years
6449357	55.9 to 76.9 years	55.9-76.9 years
6449358	54.8 to 72.4 years	54.8-72.4 years
6449359	55.9 to 76.9 years	55.9-76.9 years
6449360	54.8 to 72.4 years	54.8-72.4 years
6449361	55.9 to 76.9 years	55.9-76.9 years
6449362	54.8 to 72.4 years	54.8-72.4 years
6449363	55.9 to 76.9 years	55.9-76.9 years
6449364	54.8 to 72.4 years	54.8-72.4 years
6449365	55.9 to 76.9 years	55.9-76.9 years
6449531	55.9 to 76.9 years	55.9-76.9 years
6449532	54.8 to 72.4 years	54.8-72.4 years
6449533	55.9 to 76.9 years	55.9-76.9 years
6449534	54.8 to 72.4 years	54.8-72.4 years
6449535	55.9 to 76.9 years	55.9-76.9 years
6449536	54.8 to 72.4 years	54.8-72.4 years
6449537	55.9 to 76.9 years	55.9-76.9 years
6449538	54.8 to 72.4 years	54.8-72.4 years
6449539	55.9 to 76.9 years	55.9-76.9 years
6449540	54.8 to 72.4 years	54.8-72.4 years
6449541	55.9 to 76.9 years	55.9-76.9 years
6449708	54.8 to 72.4 years	54.8-72.4 years
6449709	55.9 to 76.9 years	55.9-76.9 years
6449710	54.8 to 72.4 years	54.8-72.4 years
6449711	55.9 to 76.9 years	55.9-76.9 years
6449712	54.8 to 72.4 years	54.8-72.4 years
6449713	55.9 to 76.9 years	55.9-76.9 years
6449714	54.8 to 72.4 years	54.8-72.4 years
6449715	55.9 to 76.9 years	55.9-76.9 years
6449716	54.8 to 72.4 years	54.8-72.4 years
6449717	55.9 to 76.9 years	55.9-76.9 years
6449718	54.8 to 72.4 years	54.8-72.4 years
6449719	55.9 to 76.9 years	55.9-76.9 years
6449885	55.9 to 76.9 years	55.9-76.9 years
6449886	54.8 to 72.4 years	54.8-72.4 years
6449887	55.9 to 76.9 years	55.9-76.9 years
6449888	54.8 to 72.4 years	54.8-72.4 years
6449889	55.9 to 76.9 years	55.9-76.9 years
6449890	54.8 to 72.4 years	54.8-72.4 years
6449891	55.9 to 76.9 years	55.9-76.9 years
6449892	54.8 to 72.4 years	54.8-72.4 years
6449893	55.9 to 76.9 years	55.9-76.9 years
6449894	54.8 to 72.4 years	54.8-72.4 years
6449895	55.9 to 76.9 years	55.9-76.9 years
6450061	55.9 to 76.9 years	55.9-76.9 years
6450062	54.8 to 72.4 years	54.8-72.4 years
6450063	55.9 to 76.9 years	55.9-76.9 years
6450064	54.8 to 72.4 years	54.8-72.4 years
6450065	55.9 to 76.9 years	55.9-76.9 years
6450066	54.8 to 72.4 years	54.8-72.4 years
6450067	55.9 to 76.9 years	55.9-76.9 years
6450068	54.8 to 72.4 years	54.8-72.4 years
6450069	55.9 to 76.9 years	55.9-76.9 years
6450070	54.8 to 72.4 years	54.8-72.4 years
6450071	55.9 to 76.9 years	55.9-76.9 years
6450248	54.8 to 72.4 years	54.8-72.4 years
6450249	55.9 to 76.9 years	55.9-76.9 years
6450250	54.8 to 72.4 years	54.8-72.4 years
6450251	55.9 to 76.9 years	55.9-76.9 years
6450252	54.8 to 72.4 years	54.8-72.4 years
6450253	55.9 to 76.9 years	55.9-76.9 years
6450254	54.8 to 72.4 years	54.8-72.4 years
6450255	55.9 to 76.9 years	55.9-76.9 years
6450256	54.8 to 72.4 years	54.8-72.4 years
6450257	55.9 to 76.9 years	55.9-76.9 years
6450258	54.8 to 72.4 years	54.8-72.4 years
6450424	54.8 to 72.4 years	54.8-72.4 years
6450425	55.9 to 76.9 years	55.9-76.9 years
6450426	54.8 to 72.4 years	54.8-72.4 years
6450427	55.9 to 76.9 years	55.9-76.9 years
6450428	54.8 to 72.4 years	54.8-72.4 years
6450429	55.9 to 76.9 years	55.9-76.9 years
6450430	54.8 to 72.4 years	54.8-72.4 years
6450431	55.9 to 76.9 years	55.9-76.9 years
6450432	54.8 to 72.4 years	54.8-72.4 years
6450433	55.9 to 76.9 years	55.9-76.9 years
6450434	54.8 to 72.4 years	54.8-72.4 years
6450600	54.8 to 72.4 years	54.8-72.4 years
6450601	55.9 to 76.9 years	55.9-76.9 years
6450602	54.8 to 72.4 years	54.8-72.4 years
6450603	55.9 to 76.9 years	55.9-76.9 years
6450604	54.8 to 72.4 years	54.8-72.4 years
6450605	55.9 to 76.9 years	55.9-76.9 years
6450606	54.8 to 72.4 years	54.8-72.4 years
6450607	55.9 to 76.9 years	55.9-76.9 years
6450608	54.8 to 72.4 years	54.8-72.4 years
6450609	55.9 to 76.9 years	55.9-76.9 years
6450610	54.8 to 72.4 years	54.8-72.4 years
6450776	54.8 to 72.4 years	54.8-72.4 years
6450777	55.9 to 76.9 years	55.9-76.9 years
6450778	54.8 to 72.4 years	54.8-72.4 years
6450779	55.9 to 76.9 years	55.9-76.9 years
6450780	54.8 to 72.4 years	54.8-72.4 years
6450781	55.9 to 76.9 years	55.9-76.9 years
6450782	54.8 to 72.4 years	54.8-72.4 years
6450783	55.9 to 76.9 years	55.9-76.9 years
6450784	54.8 to 72.4 years	54.8-72.4 years
6450785	55.9 to 76.9 years	55.9-76.9 years
6450786	54.8 to 72.4 years	54.8-72.4 years
6450952	54.8 to 72.4 years	54.8-72.4 years
6450953	55.9 to 76.9 years	55.9-76.9 years
6450954	54.8 to 72.4 years	54.8-72.4 years
6450955	55.9 to 76.9 years	55.9-76.9 years
6450956	54.8 to 72.4 years	54.8-72.4 years
6450957	55.9 to 76.9 years	55.9-76.9 years
6450958	54.8 to 72.4 years	54.8-72.4 years
6450959	55.9 to 76.9 years	55.9-76.9 years
6450960	54.8 to 72.4 years	54.8-72.4 years
6450961	55.9 to 76.9 years	55.9-76.9 years
6450962	54.8 to 72.4 years	54.8-72.4 years
6448309	55.9 to 76.9 years	55.9-76.9 years
6448310	54.8 to 72.4 years	54.8-72.4 years
6448311	55.9 to 76.9 years	55.9-76.9 years
6448312	54.8 to 72.4 years	54.8-72.4 years
6448313	55.9 to 76.9 years	55.9-76.9 years
6448314	54.8 to 72.4 years	54.8-72.4 years
6448315	55.9 to 76.9 years	55.9-76.9 years
6448316	54.8 to 72.4 years	54.8-72.4 years
6448317	55.9 to 76.9 years	55.9-76.9 years
6448318	54.8 to 72.4 years	54.8-72.4 years
6448319	55.9 to 76.9 years	55.9-76.9 years
6448486	54.8 to 72.4 years	54.8-72.4 years
6448487	55.9 to 76.9 years	55.9-76.9 years
6448488	54.8 to 72.4 years	54.8-72.4 years
6448489	55.9 to 76.9 years	55.9-76.9 years
6448490	54.8 to 72.4 years	54.8-72.4 years
6448491	55.9 to 76.9 years	55.9-76.9 years
6448492	54.8 to 72.4 years	54.8-72.4 years
6448493	55.9 to 76.9 years	55.9-76.9 years
6448494	54.8 to 72.4 years	54.8-72.4 years
6448495	55.9 to 76.9 years	55.9-76.9 years
6448496	54.8 to 72.4 years	54.8-72.4 years
6448662	54.8 to 72.4 years	54.8-72.4 years
6448663	55.9 to 76.9 years	55.9-76.9 years
6448664	54.8 to 72.4 years	54.8-72.4 years
6448665	55.9 to 76.9 years	55.9-76.9 years
6448666	54.8 to 72.4 years	54.8-72.4 years
6448667	55.9 to 76.9 years	55.9-76.9 years
6448668	54.8 to 72.4 years	54.8-72.4 years
6448669	55.9 to 76.9 years	55.9-76.9 years
6448670	54.8 to 72.4 years	54.8-72.4 years
6448671	55.9 to 76.9 years	55.9-76.9 years
6448672	54.8 to 72.4 years	54.8-72.4 years
6448838	54.8 to 72.4 years	54.8-72.4 years
6448839	55.9 to 76.9 years	55.9-76.9 years
6448840	54.8 to 72.4 years	54.8-72.4 years
6448841	55.9 to 76.9 years	55.9-76.9 years
6448842	54.8 to 72.4 years	54.8-72.4 years
6448843	55.9 to 76.9 years	55.9-76.9 years
6448844	54.8 to 72.4 years	54.8-72.4 years
6448845	55.9 to 76.9 years	55.9-76.9 years
6448846	54.8 to 72.4 years	54.8-72.4 years
6448847	55.9 to 76.9 years	55.9-76.9 years
6448848	54.8 to 72.4 years	54.8-72.4 years
6449014	54.8 to 72.4 years	54.8-72.4 years
6449015	55.9 to 76.9 years	55.9-76.9 years
6449016	54.8 to 72.4 years	54.8-72.4 years
6449017	55.9 to 76.9 years	55.9-76.9 years
6449018	54.8 to 72.4 years	54.8-72.4 years
6449019	55.9 to 76.9 years	55.9-76.9 years
6449020	54.8 to 72.4 years	54.8-72.4 years
6449021	55.9 to 76.9 years	55.9-76.9 years
6449022	54.8 to 72.4 years	54.8-72.4 years
6449023	55.9 to 76.9 years	55.9-76.9 years
6449024	54.8 to 72.4 years	54.8-72.4 years
6449190	54.8 to 72.4 years	54.8-72.4 years
6449191	55.9 to 76.9 years	55.9-76.9 years
6449192	54.8 to 72.4 years	54.8-72.4 years
6449193	55.9 to 76.9 years	55.9-76.9 years
6449194	54.8 to 72.4 years	54.8-72.4 years
6449195	55.9 to 76.9 years	55.9-76.9 years
6449196	54.8 to 72.4 years	54.8-72.4 years
6449197	55.9 to 76.9 years	55.9-76.9 years
6449198	54.8 to 72.4 years	54.8-72.4 years
6449199	55.9 to 76.9 years	55.9-76.9 years
6449200	54.8 to 72.4 years	54.8-72.4 years
6449366	54.8 to 72.4 years	54.8-72.4 years
6449367	55.9 to 76.9 years	55.9-76.9 years
6449368	54.8 to 72.4 years	54.8-72.4 years
6449369	55.9 to 76.9 years	55.9-76.9 years
6449370	54.8 to 72.4 years	54.8-72.4 years
6449371	55.9 to 76.9 years	55.9-76.9 years
6449372	54.8 to 72.4 years	54.8-72.4 years
6449373	55.9 to 76.9 years	55.9-76.9 years
6449374	54.8 to 72.4 years	54.8-72.4 years
6449375	55.9 to 76.9 years	55.9-76.9 years
6449376	54.8 to 72.4 years	54.8-72.4 years
6449542	54.8 to 72.4 years	54.8-72.4 years
6449543	55.9 to 76.9 years	55.9-76.9 years
6449544	54.8 to 72.4 years	54.8-72.4 years
6449545	55.9 to 76.9 years	55.9-76.9 years
6449546	54.8 to 72.4 years	54.8-72.4 years
6449547	55.9 to 76.9 years	55.9-76.9 years
6449548	54.8 to 72.4 years	54.8-72.4 years
6449549	55.9 to 76.9 years	55.9-76.9 years
6449550	54.8 to 72.4 years	54.8-72.4 years
6449551	55.9 to 76.9 years	55.9-76.9 years
6449552	54.8 to 72.4 years	54.8-72.4 years
6449720	54.8 to 72.4 years	54.8-72.4 years
6449721	55.9 to 76.9 years	55.9-76.9 years
6449722	54.8 to 72.4 years	54.8-72.4 years
6449723	55.9 to 76.9 years	55.9-76.9 years
6449724	54.8 to 72.4 years	54.8-72.4 years
6449725	55.9 to 76.9 years	55.9-76.9 years
6449726	54.8 to 72.4 years	54.8-72.4 years
6449727	55.9 to 76.9 years	55.9-76.9 years
6449728	54.8 to 72.4 years	54.8-72.4 years
6449729	55.9 to 76.9 years	55.9-76.9 years
6449730	54.8 to 72.4 years	54.8-72.4 years
6449896	54.8 to 72.4 years	54.8-72.4 years
6449897	55.9 to 76.9 years	55.9-76.9 years
6449898	54.8 to 72.4 years	54.8-72.4 years
6449899	55.9 to 76.9 years	55.9-76.9 years
6449900	54.8 to 72.4 years	54.8-72.4 years
6449901	55.9 to 76.9 years	55.9-76.9 years
6449902	54.8 to 72.4 years	54.8-72.4 years
6449903	55.9 to 76.9 years	55.9-76.9 years
6449904	54.8 to 72.4 years	54.8-72.4 years
6449905	55.9 to 76.9 years	55.9-76.9 years
6449906	54.8 to 72.4 years	54.8-72.4 years
6450072	54.8 to 72.4 years	54.8-72.4 years
6450073	55.9 to 76.9 years	55.9-76.9 years
6450074	54.8 to 72.4 years	54.8-72.4 years
6450075	55.9 to 76.9 years	55.9-76.9 years
6450076	54.8 to 72.4 years	54.8-72.4 years
6450077	55.9 to 76.9 years	55.9-76.9 years
6450078	54.8 to 72.4 years	54.8-72.4 years
6450079	55.9 to 76.9 years	55.9-76.9 years
6450080	54.8 to 72.4 years	54.8-72.4 years
6450081	55.9 to 76.9 years	55.9-76.9 years
6450082	54.8 to 72.4 years	54.8-72.4 years
6450259	55.9 to 76.9 years	55.9-76.9 years
6450260	54.8 to 72.4 years	54.8-72.4 years
6450261	55.9 to 76.9 years	55.9-76.9 years
6450262	54.8 to 72.4 years	54.8-72.4 years
6450263	55.9 to 76.9 years	55.9-76.9 years
6450264	54.8 to 72.4 years	54.8-72.4 years
6450265	55.9 to 76.9 years	55.9-76.9 years
6450266	54.8 to 72.4 years	54.8-72.4 years
6450267	55.9 to 76.9 years	55.9-76.9 years
6450268	54.8 to 72.4 years	54.8-72.4 years
6450269	55.9 to 76.9 years	55.9-76.9 years
6450435	55.9 to 76.9 years	55.9-76.9 years
6450436	54.8 to 72.4 years	54.8-72.4 years
6450437	55.9 to 76.9 years	55.9-76.9 years
6450438	54.8 to 72.4 years	54.8-72.4 years
6450439	55.9 to 76.9 years	55.9-76.9 years
6450440	54.8 to 72.4 years	54.8-72.4 years
6450441	55.9 to 76.9 years	55.9-76.9 years
6450442	54.8 to 72.4 years	54.8-72.4 years
6450443	55.9 to 76.9 years	55.9-76.9 years
6450444	54.8 to 72.4 years	54.8-72.4 years
6450445	55.9 to 76.9 years	55.9-76.9 years
6450611	55.9 to 76.9 years	55.9-76.9 years
6450612	54.8 to 72.4 years	54.8-72.4 years
6450613	55.9 to 76.9 years	55.9-76.9 years
6450614	54.8 to 72.4 years	54.8-72.4 years
6450615	55.9 to 76.9 years	55.9-76.9 years
6450616	54.8 to 72.4 years	54.8-72.4 years
6450617	55.9 to 76.9 years	55.9-76.9 years
6450618	54.8 to 72.4 years	54.8-72.4 years
6450619	55.9 to 76.9 years	55.9-76.9 years
6450620	54.8 to 72.4 years	54.8-72.4 years
6450621	55.9 to 76.9 years	55.9-76.9 years
6450787	55.9 to 76.9 years	55.9-76.9 years
6450788	54.8 to 72.4 years	54.8-72.4 years
6450789	55.9 to 76.9 years	55.9-76.9 years
6450790	54.8 to 72.4 years	54.8-72.4 years
6450791	55.9 to 76.9 years	55.9-76.9 years
6450792	54.8 to 72.4 years	54.8-72.4 years
6450793	55.9 to 76.9 years	55.9-76.9 years
6450794	54.8 to 72.4 years	54.8-72.4 years
6450795	55.9 to 76.9 years	55.9-76.9 years
6450796	54.8 to 72.4 years	54.8-72.4 years
6450797	55.9 to 76.9 years	55.9-76.9 years
6450963	55.9 to 76.9 years	55.9-76.9 years
6450964	54.8 to 72.4 years	54.8-72.4 years
6450965	55.9 to 76.9 years	55.9-76.9 years
6450966	54.8 to 72.4 years	54.8-72.4 years
6450967	55.9 to 76.9 years	55.9-76.9 years
6450968	54.8 to 72.4 years	54.8-72.4 years
6450969	55.9 to 76.9 years	55.9-76.9 years
6450970	54.8 to 72.4 years	54.8-72.4 years
6450971	55.9 to 76.9 years	55.9-76.9 years
6450972	54.8 to 72.4 years	54.8-72.4 years
6450973	55.9 to 76.9 years	55.9-76.9 years
6448320	54.8 to 72.4 years	54.8-72.4 years
6448321	55.9 to 76.9 years	55.9-76.9 years
6448322	54.8 to 72.4 years	54.8-72.4 years
6448323	55.9 to 76.9 years	55.9-76.9 years
6448324	54.8 to 72.4 years	54.8-72.4 years
6448325	55.9 to 76.9 years	55.9-76.9 years
6448326	54.8 to 72.4 years	54.8-72.4 years
6448327	55.9 to 76.9 years	55.9-76.9 years
6448328	54.8 to 72.4 years	54.8-72.4 years
6448329	55.9 to 76.9 years	55.9-76.9 years
6448330	54.8 to 72.4 years	54.8-72.4 years
6448497	55.9 to 76.9 years	55.9-76.9 years
6448498	54.8 to 72.4 years	54.8-72.4 years
6448499	55.9 to 76.9 years	55.9-76.9 years
6448500	54.8 to 72.4 years	54.8-72.4 years
6448501	55.9 to 76.9 years	55.9-76.9 years
6448502	54.8 to 72.4 years	54.8-72.4 years
6448503	55.9 to 76.9 years	55.9-76.9 years
6448504	54.8 to 72.4 years	54.8-72.4 years
6448505	55.9 to 76.9 years	55.9-76.9 years
6448506	54.8 to 72.4 years	54.8-72.4 years
6448507	55.9 to 76.9 years	55.9-76.9 years
6448673	55.9 to 76.9 years	55.9-76.9 years
6448674	54.8 to 72.4 years	54.8-72.4 years
6448675	55.9 to 76.9 years	55.9-76.9 years
6448676	54.8 to 72.4 years	54.8-72.4 years
6448677	55.9 to 76.9 years	55.9-76.9 years
6448678	54.8 to 72.4 years	54.8-72.4 years
6448679	55.9 to 76.9 years	55.9-76.9 years
6448680	54.8 to 72.4 years	54.8-72.4 years
6448681	55.9 to 76.9 years	55.9-76.9 years
6448682	54.8 to 72.4 years	54.8-72.4 years
6448683	55.9 to 76.9 years	55.9-76.9 years
6448849	55.9 to 76.9 years	55.9-76.9 years
6448850	54.8 to 72.4 years	54.8-72.4 years
6448851	55.9 to 76.9 years	55.9-76.9 years
6448852	54.8 to 72.4 years	54.8-72.4 years
6448853	55.9 to 76.9 years	55.9-76.9 years
6448854	54.8 to 72.4 years	54.8-72.4 years
6448855	55.9 to 76.9 years	55.9-76.9 years
6448856	54.8 to 72.4 years	54.8-72.4 years
6448857	55.9 to 76.9 years	55.9-76.9 years
6448858	54.8 to 72.4 years	54.8-72.4 years
6448859	55.9 to 76.9 years	55.9-76.9 years
6449025	55.9 to 76.9 years	55.9-76.9 years
6449026	54.8 to 72.4 years	54.8-72.4 years
6449027	55.9 to 76.9 years	55.9-76.9 years
6449028	54.8 to 72.4 years	54.8-72.4 years
6449029	55.9 to 76.9 years	55.9-76.9 years
6449030	54.8 to 72.4 years	54.8-72.4 years
6449031	55.9 to 76.9 years	55.9-76.9 years
6449032	54.8 to 72.4 years	54.8-72.4 years
6449033	55.9 to 76.9 years	55.9-76.9 years
6449034	54.8 to 72.4 years	54.8-72.4 years
6449035	55.9 to 76.9 years	55.9-76.9 years
6449201	55.9 to 76.9 years	55.9-76.9 years
6449202	54.8 to 72.4 years	54.8-72.4 years
6449203	55.9 to 76.9 years	55.9-76.9 years
6449204	54.8 to 72.4 years	54.8-72.4 years
6449205	55.9 to 76.9 years	55.9-76.9 years
6449206	54.8 to 72.4 years	54.8-72.4 years
6449207	55.9 to 76.9 years	55.9-76.9 years
6449208	54.8 to 72.4 years	54.8-72.4 years
6449209	55.9 to 76.9 years	55.9-76.9 years
6449210	54.8 to 72.4 years	54.8-72.4 years
6449211	55.9 to 76.9 years	55.9-76.9 years
6449377	55.9 to 76.9 years	55.9-76.9 years
6449378	54.8 to 72.4 years	54.8-72.4 years
6449379	55.9 to 76.9 years	55.9-76.9 years
6449380	54.8 to 72.4 years	54.8-72.4 years
6449381	55.9 to 76.9 years	55.9-76.9 years
6449382	54.8 to 72.4 years	54.8-72.4 years
6449383	55.9 to 76.9 years	55.9-76.9 years
6449384	54.8 to 72.4 years	54.8-72.4 years
6449385	55.9 to 76.9 years	55.9-76.9 years
6449386	54.8 to 72.4 years	54.8-72.4 years
6449387	55.9 to 76.9 years	55.9-76.9 years
6449553	55.9 to 76.9 years	55.9-76.9 years
6449554	54.8 to 72.4 years	54.8-72.4 years
6449555	55.9 to 76.9 years	55.9-76.9 years
6449556	54.8 to 72.4 years	54.8-72.4 years
6449557	55.9 to 76.9 years	55.9-76.9 years
6449558	54.8 to 72.4 years	54.8-72.4 years
6449559	55.9 to 76.9 years	55.9-76.9 years
6449560	54.8 to 72.4 years	54.8-72.4 years
6449561	55.9 to 76.9 years	55.9-76.9 years
6449562	54.8 to 72.4 years	54.8-72.4 years
6449563	55.9 to 76.9 years	55.9-76.9 years
6449731	55.9 to 76.9 years	55.9-76.9 years
6449732	54.8 to 72.4 years	54.8-72.4 years
6449733	55.9 to 76.9 years	55.9-76.9 years
6449734	54.8 to 72.4 years	54.8-72.4 years
6449735	55.9 to 76.9 years	55.9-76.9 years
6449736	54.8 to 72.4 years	54.8-72.4 years
6449737	55.9 to 76.9 years	55.9-76.9 years
6449738	54.8 to 72.4 years	54.8-72.4 years
6449739	55.9 to 76.9 years	55.9-76.9 years
6449740	54.8 to 72.4 years	54.8-72.4 years
6449741	55.9 to 76.9 years	55.9-76.9 years
6449907	55.9 to 76.9 years	55.9-76.9 years
6449908	54.8 to 72.4 years	54.8-72.4 years
6449909	55.9 to 76.9 years	55.9-76.9 years
6449910	54.8 to 72.4 years	54.8-72.4 years
6449911	55.9 to 76.9 years	55.9-76.9 years
6449912	54.8 to 72.4 years	54.8-72.4 years
6449913	55.9 to 76.9 years	55.9-76.9 years
6449914	54.8 to 72.4 years	54.8-72.4 years
6449915	55.9 to 76.9 years	55.9-76.9 years
6449916	54.8 to 72.4 years	54.8-72.4 years
6449917	55.9 to 76.9 years	55.9-76.9 years
6450083	55.9 to 76.9 years	55.9-76.9 years
6450084	54.8 to 72.4 years	54.8-72.4 years
6450085	55.9 to 76.9 years	55.9-76.9 years
6450086	54.8 to 72.4 years	54.8-72.4 years
6450087	55.9 to 76.9 years	55.9-76.9 years
6450088	54.8 to 72.4 years	54.8-72.4 years
6450089	55.9 to 76.9 years	55.9-76.9 years
6450090	54.8 to 72.4 years	54.8-72.4 years
6450091	55.9 to 76.9 years	55.9-76.9 years
6450092	54.8 to 72.4 years	54.8-72.4 years
6450093	55.9 to 76.9 years	55.9-76.9 years
6456603	55.9 to 76.9 years	55.9-76.9 years
6456604	54.8 to 72.4 years	54.8-72.4 years
6456605	55.9 to 76.9 years	55.9-76.9 years
6456606	54.8 to 72.4 years	54.8-72.4 years
6456607	55.9 to 76.9 years	55.9-76.9 years
6456608	54.8 to 72.4 years	54.8-72.4 years
6456609	55.9 to 76.9 years	55.9-76.9 years
6456610	54.8 to 72.4 years	54.8-72.4 years
6456611	55.9 to 76.9 years	55.9-76.9 years
